alpha,beta,run,hit_rate,cwhr,savings_dollar,latency_ms
1.0,2.0,4,0.3646,0.5632505617894976,0.9933392000000015,161.58417801745267
1.0,2.0,5,0.3472,0.5228834352924414,0.8892967999999959,165.78984783668594
1.0,2.0,6,0.3004,0.6528177534985561,1.3350746500000092,176.92693300904475
1.0,2.0,7,0.3258,0.5926643482755022,1.167140449999997,171.49147240510226
1.0,2.0,8,0.325,0.6475761994061832,1.3460373500000227,170.87981457399846
1.0,2.0,9,0.3688,0.6304423620663285,1.2935950999999888,159.2566764677421
1.5,0.0,0,0.403,0.3511715935879416,0.6817579999999879,151.49763880944587
1.5,0.0,1,0.412,0.25463157367778794,0.4771070499999958,150.1972936628666
1.5,0.0,2,0.4196,0.30106043845557706,0.4642760499999996,147.86957168091845
1.5,0.0,3,0.4,0.2035157907787367,0.2987564999999998,152.79616537163412
1.5,0.0,4,0.397,0.21172463572244737,0.37339399999999995,153.32015395364556
1.5,0.0,5,0.4118,0.1638278838870055,0.2786311500000026,149.67243073137595
1.5,0.0,6,0.3816,0.2681470376322261,0.5483862999999973,157.11747508177882
1.5,0.0,7,0.416,0.1542337357016305,0.30373420000000106,150.10370961863896
1.5,0.0,8,0.4066,0.23866937271596972,0.4960927999999998,151.15736875857073
1.5,0.0,9,0.4124,0.3151317997969502,0.6466141500000016,148.89128040144894
1.5,0.5,0,0.4328,0.4393901425036787,0.8530238499999896,144.2044411224832
1.5,0.5,1,0.4398,0.37231277197302315,0.6976080999999943,143.49700358076495
1.5,0.5,2,0.4312,0.3370609668137487,0.5197937499999986,145.30641799667785
1.5,0.5,3,0.4354,0.3345043893739455,0.4910447500000001,144.4743566569598
1.5,0.5,4,0.4266,0.30860864144681105,0.5442569999999929,146.23000383038516
1.5,0.5,5,0.438,0.3177596942440897,0.5404314999999982,143.61211742996736
1.5,0.5,6,0.4318,0.44749166970442106,0.9151631999999997,144.96131910615108
1.5,0.5,7,0.4402,0.30256675297688207,0.5958480499999954,143.88382128169468
1.5,0.5,8,0.4428,0.4840692376380196,1.006175450000008,142.43534882461972
1.5,0.5,9,0.4414,0.4402580252068754,0.9033587499999994,142.03584413567557
1.5,1.0,0,0.4394,0.533968570008962,1.0366366499999948,142.55248075568414
1.5,1.0,1,0.4484,0.5110793518673447,0.9576171500000015,141.12220857439516
1.5,1.0,2,0.4262,0.4338553669433857,0.6690638499999969,146.5727146457418
